@RELATION ./data/classifySpeechPronunciation_L_R
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {classify_l,classify_r}

@DATA
0.060150,0.065530,2.986054,0.195385,0.234633,0.325896,0.015522,0.068611,-28.140973,2.766625,0.735058,0.819980,0.433762,0.264535,0.021177,0.122823,0.057468,-0.288175,0.025656,-0.037921,-0.268317,0.024172,0.000446,0.011050,0.003654,0.011068,0.004774,0.095000,0.000129,0.000673,0.075505,0.028492,0.000419,0.040040,0.021250,0.104916,0.266413,0.047351,0.043429,0.212400,0.012440,0.078613,4.229189,0.602987,0.636523,0.359703,0.287420,0.266944,0.189690,0.185719,0.179347,0.306511,0.168087,0.154895,0.181352,0.036939,0.000429,0.010265,0.003048,0.008787,0.005734,0.070896,0.000095,0.000852,0.050304,0.027659,0.000327,0.011657,classify_l
0.044612,0.026374,2.851047,0.160529,0.227471,0.166213,0.061002,0.051750,-31.513186,3.116371,1.053616,0.853487,0.668366,0.210473,0.182877,0.111919,0.156973,-0.075501,-0.054618,-0.156294,-0.260527,0.017186,0.000333,0.016028,0.002090,0.029223,0.003439,0.082563,0.000073,0.000599,0.071806,0.035162,0.000468,0.040912,0.009160,0.043598,0.292310,0.028635,0.029125,0.126750,0.046790,0.018622,2.946460,0.263310,0.467414,0.228733,0.228694,0.163876,0.115693,0.114908,0.135680,0.150213,0.126310,0.149591,0.175969,0.017558,0.000436,0.014224,0.001821,0.028127,0.005379,0.059744,0.000060,0.000584,0.063513,0.040264,0.000608,0.009125,classify_l
0.065664,0.023769,2.656558,0.188249,0.237780,0.288820,0.017691,0.070000,-30.114837,2.821962,0.848363,0.774730,0.504350,0.108389,-0.012924,0.034043,-0.098474,-0.029438,-0.041680,-0.130473,-0.130158,0.010737,0.000472,0.011948,0.010844,0.024261,0.004692,0.069645,0.000236,0.001116,0.100273,0.022426,0.000477,0.035851,0.013505,0.047694,0.152811,0.024401,0.016426,0.159108,0.009276,0.034287,1.894110,0.314248,0.191586,0.127514,0.119713,0.095454,0.134619,0.081445,0.132603,0.097272,0.071084,0.101788,0.074959,0.006423,0.000267,0.005258,0.006556,0.011117,0.003467,0.028125,0.000125,0.000246,0.027388,0.023277,0.000507,0.004582,classify_l
0.054637,0.064948,3.092924,0.155320,0.196845,0.344467,0.022069,0.070000,-27.540224,3.409340,0.414239,0.813155,0.459290,0.160353,-0.104149,0.003262,0.265335,-0.150768,0.063735,0.038616,-0.239741,0.021209,0.000491,0.012632,0.019894,0.043697,0.005846,0.086470,0.000082,0.001035,0.052092,0.014140,0.001440,0.037336,0.016066,0.109484,0.186704,0.023491,0.036681,0.238850,0.022855,0.030056,3.916753,0.544681,0.623097,0.517191,0.388248,0.289045,0.272285,0.144208,0.270271,0.290750,0.253513,0.169002,0.231900,0.042095,0.000495,0.007560,0.026392,0.040400,0.009166,0.063849,0.000108,0.001314,0.035759,0.011714,0.003242,0.007951,classify_l
0.077485,0.071046,2.840155,0.170112,0.209577,0.391073,0.018495,0.075000,-26.590725,3.263356,0.364836,0.698480,0.509623,0.256220,0.003520,-0.029026,0.144953,-0.112294,0.072334,0.088068,-0.280152,0.010560,0.000833,0.016714,0.016750,0.056356,0.004395,0.066640,0.000430,0.000964,0.059743,0.024513,0.001248,0.035287,0.061997,0.111776,0.585727,0.030024,0.041048,0.224566,0.009950,0.037025,3.888799,0.575789,0.684513,0.332905,0.321205,0.160085,0.231781,0.106909,0.285350,0.208557,0.240648,0.223266,0.235090,0.013851,0.000595,0.012746,0.025284,0.051686,0.004283,0.051502,0.000558,0.000745,0.043950,0.020750,0.001988,0.007299,classify_l
0.080138,0.016734,3.009453,0.217419,0.285171,0.277591,0.009995,0.053750,-34.722979,2.735193,0.954950,0.692110,0.754779,0.070137,0.164080,0.029571,0.129691,-0.136038,-0.034996,-0.142894,-0.201520,0.012135,0.000421,0.050341,0.004580,0.021937,0.002274,0.077385,0.000118,0.000356,0.061369,0.014883,0.000823,0.033324,0.015318,0.041796,0.107701,0.021834,0.026953,0.082213,0.005099,0.011026,2.861267,0.279416,0.266283,0.138681,0.111103,0.176549,0.126631,0.067689,0.081390,0.073744,0.099395,0.077681,0.099919,0.011844,0.000352,0.018539,0.008172,0.018538,0.002426,0.044376,0.000117,0.000286,0.038787,0.009449,0.001869,0.003950,classify_l
0.061260,0.024282,2.972254,0.185485,0.255893,0.271188,0.023706,0.064464,-33.089253,2.953229,1.100410,0.743166,0.776974,0.082107,0.125822,0.101848,0.132034,-0.115978,0.008841,-0.104245,-0.235813,0.011908,0.000485,0.022274,0.006438,0.030431,0.002763,0.080462,0.000123,0.000686,0.077498,0.017425,0.002516,0.035113,0.014466,0.046454,0.134842,0.026023,0.025359,0.206444,0.014306,0.029862,2.713109,0.278445,0.440617,0.272887,0.270441,0.144727,0.175050,0.131241,0.104533,0.203593,0.130704,0.176898,0.170430,0.010831,0.000663,0.014399,0.012345,0.030165,0.004027,0.037082,0.000123,0.000803,0.050856,0.014458,0.005876,0.006990,classify_l
0.080138,0.016734,3.009453,0.217419,0.285171,0.277591,0.009995,0.053750,-34.722979,2.735193,0.954950,0.692110,0.754779,0.070137,0.164080,0.029571,0.129691,-0.136038,-0.034996,-0.142894,-0.201520,0.012135,0.000421,0.050341,0.004580,0.021937,0.002274,0.077385,0.000118,0.000356,0.061369,0.014883,0.000823,0.033324,0.015318,0.041796,0.107701,0.021834,0.026953,0.082213,0.005099,0.011026,2.861267,0.279416,0.266283,0.138681,0.111103,0.176549,0.126631,0.067689,0.081390,0.073744,0.099395,0.077681,0.099919,0.011844,0.000352,0.018539,0.008172,0.018538,0.002426,0.044376,0.000117,0.000286,0.038787,0.009449,0.001869,0.003950,classify_l
0.063394,0.066414,3.005016,0.182778,0.224462,0.435852,0.026438,0.078529,-28.391423,3.082734,0.542709,0.501003,0.553951,0.257778,0.091094,0.010394,0.046595,-0.258009,0.103050,0.084895,-0.264764,0.013898,0.000574,0.011834,0.003889,0.017790,0.016340,0.084406,0.000402,0.000970,0.076057,0.025808,0.000492,0.039223,0.018966,0.105246,0.265251,0.030761,0.043158,0.235285,0.025801,0.036693,4.925084,0.484052,0.711107,0.564854,0.460174,0.210893,0.268209,0.188334,0.178699,0.149409,0.270145,0.258567,0.235055,0.018296,0.000601,0.012819,0.005826,0.015603,0.018110,0.062367,0.000414,0.000864,0.071164,0.030029,0.000357,0.011841,classify_l
0.046575,0.087524,3.106325,0.161179,0.203898,0.377482,0.015072,0.072083,-25.620018,3.233184,0.348775,0.633609,0.525826,0.237871,0.045472,0.095674,0.080948,-0.163753,-0.066164,0.089285,-0.191317,0.005443,0.001542,0.009356,0.002262,0.009072,0.009182,0.096888,0.000362,0.000787,0.093584,0.022273,0.000927,0.042580,0.008404,0.083362,0.184054,0.021808,0.024649,0.239849,0.009931,0.032369,3.683550,0.409937,0.576957,0.303493,0.174419,0.211902,0.148705,0.121528,0.163596,0.262254,0.275051,0.155703,0.200251,0.002958,0.002391,0.006087,0.001813,0.006984,0.009756,0.064584,0.000738,0.000518,0.057931,0.029819,0.001252,0.006542,classify_l
0.046784,0.141614,3.035036,0.156420,0.194988,0.328280,0.022450,0.065417,-25.175886,3.405817,0.336584,0.603532,0.479654,0.293336,0.184012,0.074246,0.036743,-0.269755,-0.043927,0.006864,-0.302499,0.006688,0.000664,0.008227,0.002572,0.006020,0.011650,0.094453,0.000255,0.000587,0.107257,0.012807,0.000404,0.044780,0.006889,0.122400,0.254039,0.029400,0.040788,0.230793,0.014228,0.030032,3.475237,0.577945,0.863735,0.352734,0.300098,0.198764,0.334644,0.188871,0.168238,0.263589,0.159489,0.236022,0.184050,0.002745,0.001115,0.006803,0.002472,0.003445,0.017272,0.063677,0.000308,0.000542,0.066616,0.009028,0.000472,0.006381,classify_l
0.066792,0.031433,2.970333,0.204324,0.267275,0.285141,0.015863,0.063000,-33.019548,2.895149,0.989780,0.738597,0.565849,0.231303,0.162727,0.042792,0.164841,-0.151501,0.068875,-0.090150,-0.137125,0.008504,0.000514,0.021853,0.004640,0.021257,0.003714,0.103161,0.000112,0.000592,0.065738,0.021136,0.000573,0.035512,0.029652,0.052325,0.202678,0.033855,0.033020,0.191420,0.009898,0.042063,2.758571,0.453259,0.484602,0.239276,0.223199,0.159648,0.107216,0.182513,0.098382,0.156313,0.074358,0.126278,0.096649,0.006654,0.000391,0.013817,0.005786,0.012116,0.004952,0.030006,0.000111,0.000586,0.036548,0.016444,0.000859,0.006312,classify_l
0.050125,0.081830,3.139530,0.173249,0.204765,0.465033,0.030199,0.083333,-24.964322,3.072539,0.182892,0.690771,0.434366,0.048420,-0.019934,0.189998,0.267281,-0.231956,-0.020289,0.043802,-0.103548,0.009557,0.000705,0.008668,0.002716,0.016587,0.010815,0.098132,0.000095,0.001188,0.068127,0.031527,0.001654,0.041300,0.014214,0.078691,0.194815,0.020601,0.021212,0.215956,0.020303,0.047449,2.802794,0.422081,0.462978,0.519195,0.265909,0.195627,0.287823,0.141656,0.260850,0.349137,0.209863,0.184491,0.181732,0.011226,0.000657,0.008992,0.002366,0.016203,0.018756,0.074159,0.000070,0.001270,0.052992,0.044362,0.001454,0.010264,classify_l
0.083403,0.044569,2.954621,0.197190,0.233186,0.436825,0.012406,0.069167,-29.632236,2.966903,0.514124,0.755716,0.508927,0.263193,0.059336,0.002729,0.192377,-0.448929,0.046361,0.071358,-0.310005,0.024461,0.000511,0.016716,0.005321,0.022075,0.006035,0.077324,0.000471,0.000736,0.061320,0.040294,0.000582,0.033351,0.035599,0.067951,0.378986,0.051721,0.063164,0.202092,0.009666,0.033135,5.497214,0.721133,0.756375,0.402429,0.343829,0.220776,0.220214,0.159499,0.173378,0.322246,0.159510,0.164140,0.152882,0.030361,0.000331,0.008984,0.005717,0.015931,0.009291,0.047336,0.000622,0.000678,0.044202,0.033502,0.000357,0.007500,classify_l
0.062155,0.085609,3.070584,0.184520,0.223237,0.425030,0.027618,0.072000,-25.528211,3.102696,0.532557,0.350223,0.503466,0.189473,-0.110163,0.048876,0.099375,-0.192269,-0.052952,0.117671,-0.260642,0.011240,0.000967,0.012005,0.003359,0.026795,0.008305,0.065723,0.000683,0.001553,0.083287,0.039485,0.001549,0.037805,0.025529,0.097106,0.220338,0.026473,0.036255,0.161819,0.020335,0.024000,3.460471,0.477635,0.734865,0.436100,0.272573,0.156215,0.235340,0.200222,0.184586,0.188949,0.245705,0.237077,0.226011,0.009449,0.000752,0.007241,0.002167,0.027869,0.008243,0.060650,0.000749,0.001152,0.062622,0.034236,0.001700,0.009518,classify_l
0.074687,0.079902,2.920777,0.199775,0.225259,0.620818,0.017093,0.110500,-26.139230,2.884192,0.133511,0.541012,0.761956,0.353238,0.024695,-0.003459,0.147478,-0.372195,0.211247,0.062067,-0.420492,0.014333,0.000879,0.013296,0.003912,0.017070,0.004802,0.065203,0.001447,0.001098,0.077602,0.047438,0.000659,0.035779,0.024730,0.095575,0.401999,0.036138,0.048310,0.336577,0.012962,0.062946,4.011255,0.659677,0.852324,0.272476,0.352362,0.126321,0.299640,0.267974,0.311005,0.328018,0.164535,0.157022,0.214915,0.009697,0.000660,0.009341,0.003138,0.019555,0.003924,0.052397,0.001851,0.000631,0.049424,0.049051,0.000635,0.008863,classify_l
0.061905,0.059030,2.957150,0.170750,0.214325,0.322602,0.017177,0.070000,-26.836233,3.171641,0.602349,0.508028,0.705569,0.223742,-0.110848,0.029786,0.091090,-0.403253,-0.015475,0.043765,-0.337083,0.023433,0.000429,0.007900,0.002477,0.011474,0.008193,0.062978,0.000289,0.000843,0.104521,0.033629,0.000472,0.040287,0.018622,0.073534,0.277671,0.030299,0.034226,0.235351,0.014478,0.038859,3.621003,0.485444,0.757669,0.382709,0.463161,0.168190,0.190679,0.261219,0.214085,0.288316,0.217055,0.181342,0.231304,0.037789,0.000471,0.003529,0.001773,0.008024,0.008545,0.043693,0.000466,0.000720,0.056888,0.042544,0.000257,0.005799,classify_l
0.050627,0.085435,3.115007,0.168436,0.211166,0.388703,0.016669,0.067000,-25.630333,3.207664,0.487360,0.557718,0.494065,0.302233,-0.000537,-0.066070,0.151446,-0.271692,0.036376,0.099988,-0.152842,0.003609,0.000625,0.009762,0.002930,0.023101,0.020444,0.119676,0.000150,0.001787,0.061982,0.009353,0.003408,0.042349,0.010680,0.102167,0.168300,0.021431,0.028881,0.236057,0.014624,0.026476,3.164370,0.323163,0.602699,0.300416,0.353827,0.194388,0.338278,0.106225,0.186890,0.369793,0.150300,0.137276,0.185676,0.001403,0.000586,0.007193,0.002477,0.026527,0.019756,0.055733,0.000152,0.001292,0.066070,0.010701,0.005924,0.009524,classify_l
0.068248,0.110789,3.047449,0.171003,0.202144,0.390429,0.018264,0.083846,-25.655437,3.070989,0.469518,0.843373,0.273942,0.173286,0.179975,0.200616,0.177827,-0.293547,-0.156666,-0.095823,-0.247217,0.011071,0.000882,0.006922,0.002227,0.007583,0.012195,0.096975,0.000069,0.000625,0.092739,0.016122,0.001106,0.044908,0.060272,0.127559,0.250032,0.052396,0.037786,0.389339,0.015362,0.097589,2.623764,0.764022,0.498949,0.467561,0.248049,0.253167,0.174805,0.209857,0.236145,0.274267,0.105960,0.175099,0.208837,0.010666,0.001203,0.005506,0.001851,0.007474,0.015904,0.078220,0.000076,0.000484,0.074221,0.014011,0.002917,0.011419,classify_l
0.050940,0.026522,2.852713,0.156970,0.212218,0.193878,0.031554,0.055375,-28.844657,3.204194,0.992823,0.831068,0.565959,0.178761,0.102271,0.126254,0.066242,-0.105082,-0.083322,-0.061424,-0.247552,0.017350,0.000381,0.015879,0.004461,0.021801,0.003292,0.069209,0.000102,0.000856,0.091493,0.032512,0.000433,0.037525,0.015515,0.032276,0.343013,0.037081,0.036683,0.128532,0.022695,0.012243,3.084906,0.484619,0.438188,0.322940,0.191338,0.242239,0.182232,0.129899,0.107451,0.185061,0.151202,0.160827,0.211990,0.021248,0.000353,0.011119,0.003679,0.018900,0.004603,0.045775,0.000119,0.001385,0.057158,0.029164,0.000484,0.007038,classify_l
0.050125,0.081830,3.139530,0.173249,0.204765,0.465033,0.030199,0.083333,-24.964322,3.072539,0.182892,0.690771,0.434366,0.048420,-0.019934,0.189998,0.267281,-0.231956,-0.020289,0.043802,-0.103548,0.009557,0.000705,0.008668,0.002716,0.016587,0.010815,0.098132,0.000095,0.001188,0.068127,0.031527,0.001654,0.041300,0.014214,0.078691,0.194815,0.020601,0.021212,0.215956,0.020303,0.047449,2.802794,0.422081,0.462978,0.519195,0.265909,0.195627,0.287823,0.141656,0.260850,0.349137,0.209863,0.184491,0.181732,0.011226,0.000657,0.008992,0.002366,0.016203,0.018756,0.074159,0.000070,0.001270,0.052992,0.044362,0.001454,0.010264,classify_l
0.047440,0.084882,2.974221,0.163185,0.211442,0.364704,0.024690,0.063929,-26.948341,3.169374,0.632566,0.780778,0.551918,0.208538,0.037464,0.140016,0.132342,-0.251943,0.031332,-0.003305,-0.254926,0.008423,0.000571,0.013717,0.002923,0.020892,0.004346,0.096418,0.000102,0.000837,0.073711,0.027246,0.007325,0.041031,0.008960,0.116574,0.244474,0.028048,0.034997,0.273286,0.021633,0.024141,4.017029,0.399571,0.538988,0.464855,0.309914,0.168600,0.227130,0.156000,0.212347,0.331913,0.255971,0.145340,0.214566,0.009604,0.000585,0.020083,0.002602,0.017886,0.004655,0.065423,0.000134,0.000648,0.062699,0.034253,0.011443,0.008752,classify_l
